#### TEMPERATURA EM CUIABÁ (1961-2019) ####
# Fonte: BDMEP - INMET
# http://www.inmet.gov.br/portal/index.php?r=bdmep/bdmep

Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;
83361;04/07/1961;0000;;32.7;;24.4;60.5;
83361;04/07/1961;1200;0;;18.4;;;
83361;05/07/1961;0000;;33.2;;24.4;50.5;
83361;05/07/1961;1200;0;;17;;;
83361;06/07/1961;0000;;33.2;;24.34;56.25;
83361;06/07/1961;1200;0;;16.2;;;
83361;07/07/1961;0000;;32.9;;24.24;57.5;
83361;07/07/1961;1200;0;;16.9;;;
83361;08/07/1961;0000;;24.5;;16.92;84.75;
83361;08/07/1961;1200;0;;14;;;
83361;09/07/1961;0000;;20.8;;16.96;80.75;
83361;09/07/1961;1200;0;;14;;;
83361;10/07/1961;0000;;21.5;;17.58;86;
83361;10/07/1961;1200;0;;15.1;;;
83361;11/07/1961;0000;;24.6;;18.86;81.5;
83361;11/07/1961;1200;0;;14;;;
83361;12/07/1961;0000;;33.7;;22.82;59.25;
83361;12/07/1961;1200;0;;14.3;;;
83361;13/07/1961;0000;;34.3;;24.54;51.25;
83361;13/07/1961;1200;0;;15.3;;;
83361;14/07/1961;0000;;33.3;;24.32;54.25;
83361;14/07/1961;1200;0;;18.1;;;
83361;15/07/1961;0000;;32.6;;23.14;50.5;
83361;15/07/1961;1200;0;;15.7;;;
83361;16/07/1961;0000;;32.5;;23.2;54.5;
83361;16/07/1961;1200;0;;15;;;
83361;17/07/1961;0000;;32.8;;23.88;52.25;
83361;17/07/1961;1200;0;;15.7;;;
83361;18/07/1961;0000;;33.9;;24.26;54.25;
83361;18/07/1961;1200;0;;16.2;;;
83361;19/07/1961;0000;;33.8;;25.6;50.5;
83361;19/07/1961;1200;0;;18.1;;;
83361;20/07/1961;0000;;34.4;;26.88;45.75;
83361;20/07/1961;1200;0;;21.9;;;
83361;21/07/1961;0000;;34.8;;25.24;50.25;
83361;21/07/1961;1200;0;;16.9;;;
83361;22/07/1961;0000;;27.3;;21.36;78.5;
83361;22/07/1961;1200;0;;18;;;
83361;23/07/1961;0000;;33.2;;24.04;62.25;
83361;23/07/1961;1200;0;;16.8;;;
83361;24/07/1961;0000;;33.9;;24.76;51.25;
83361;24/07/1961;1200;0;;17.9;;;
83361;25/07/1961;0000;;34.2;;25.22;49;
83361;25/07/1961;1200;0;;18.2;;;
83361;26/07/1961;0000;;33.9;;25.68;50.5;
83361;26/07/1961;1200;0;;19.4;;;
83361;27/07/1961;0000;;31.4;;25.14;58.75;
83361;27/07/1961;1200;0;;21.2;;;
83361;28/07/1961;0000;;25.2;;20.38;69.75;
83361;28/07/1961;1200;0;;17;;;
83361;29/07/1961;0000;;31.3;;22.86;56.5;
83361;29/07/1961;1200;0;;15.8;;;
83361;30/07/1961;0000;;32.9;;24.06;49.25;
83361;30/07/1961;1200;0;;16.9;;;
83361;31/07/1961;0000;;33.4;;24.48;46;
83361;31/07/1961;1200;0;;16.9;;;
83361;01/08/1961;0000;;33.9;;24.74;46.75;
83361;01/08/1961;1200;0;;17.1;;;
83361;02/08/1961;0000;;34.5;;25.06;45;
83361;02/08/1961;1200;0;;17.3;;;
83361;03/08/1961;0000;;34.9;;24.58;51.5;
83361;03/08/1961;1200;0;;16.8;;;
83361;04/08/1961;0000;;34.4;;24.92;48.75;
83361;04/08/1961;1200;0;;17.3;;;
83361;05/08/1961;0000;;35;;25.62;41;
83361;05/08/1961;1200;0;;17.6;;;
83361;06/08/1961;0000;;34.9;;25.16;44.25;
83361;06/08/1961;1200;0;;16.8;;;
83361;07/08/1961;0000;;36.1;;26.04;41.5;
83361;07/08/1961;1200;0;;16.8;;;
83361;08/08/1961;0000;;36.6;;26.64;40;
83361;08/08/1961;1200;0;;17.7;;;
83361;09/08/1961;0000;;36.3;;26.28;38.75;
83361;09/08/1961;1200;0;;17.6;;;
83361;10/08/1961;0000;;34.8;;25.02;38.5;
83361;10/08/1961;1200;0;;16;;;
83361;11/08/1961;0000;;34.6;;25.34;40.75;
83361;11/08/1961;1200;0;;17.4;;;
83361;12/08/1961;0000;;35.7;;25.94;38.5;
83361;12/08/1961;1200;0;;16.9;;;
83361;13/08/1961;0000;;36.7;;28.74;39.25;
83361;13/08/1961;1200;0;;21.9;;;
83361;14/08/1961;0000;;36.6;;29;35.75;
83361;14/08/1961;1200;0;;23.3;;;
83361;15/08/1961;0000;;34.3;;27.58;33.75;
83361;15/08/1961;1200;0;;21.9;;;
83361;16/08/1961;0000;;35.2;;27.02;36;
83361;16/08/1961;1200;0;;19.2;;;
83361;17/08/1961;0000;;36.8;;27.32;40;
83361;17/08/1961;1200;0;;19.9;;;
83361;18/08/1961;0000;;36.9;;27.58;44.25;
83361;18/08/1961;1200;0;;21;;;
83361;19/08/1961;0000;;38;;27.76;42;
83361;19/08/1961;1200;0;;20.5;;;
83361;20/08/1961;0000;;37.2;;27.58;34.75;
83361;20/08/1961;1200;0;;19.8;;;
83361;21/08/1961;0000;;37.2;;28.36;35.5;
83361;21/08/1961;1200;0;;21.2;;;
83361;22/08/1961;0000;;37.9;;28.7;39;
83361;22/08/1961;1200;0;;21.7;;;
83361;23/08/1961;0000;;38.6;;29.86;36.5;
83361;23/08/1961;1200;0;;22;;;
83361;24/08/1961;0000;;38;;30.18;31.75;
83361;24/08/1961;1200;0;;22.9;;;
